id,naslov,avtor,ocena_kritikov,leto,ocena_ljudi
310,The Long Goodbye,The Essex Green,81,2003,84
311,Turn On The Bright Lights,Interpol,81,2002,91
312,The Private Press,DJ Shadow,81,2002,84
313,The Way Out,The Books,81,2010,83
314,Going Places,Yellow Swans,81,2010,83
315,03/07-09/07,High Places,81,2008,90
316,Meet the Humans,Steve Mason,81,2016,75
317,Short Movie,Laura Marling,81,2015,81
318,Indian Ocean,Frazey Ford,81,2014,86
319,Mutant,Arca,81,2015,83
320,'Allelujah! Don't Bend! Ascend!,Godspeed You! Black Emperor,81,2012,89
321,Key Markets,Sleaford Mods,81,2015,74
322,Figure 8,Elliott Smith,81,2000,89
323,Maraqopa,Damien Jurado,81,2012,85
324,Here's The Tender Coming,The Unthanks,81,2010,82
325,Guidance,Russian Circles,81,2016,81
326,I Don't Like Shit: I Don't Go Outside,Earl Sweatshirt,81,2015,82
327,The Sophtware Slump,Grandaddy,81,2000,90
328,The Ecstatic,Mos Def,81,2009,89
329,Azel,Bombino,81,2016,76
330,You In Reverse,Built To Spill,81,2006,89
331,Islah,Kevin Gates,81,2016,71
332,Saturn's Pattern,Paul Weller,81,2015,76
333,Recitation,Envy,81,2010,85
334,Lie Down In The Light,"Bonnie ""Prince"" Billy",81,2008,86
335,The Lost Tapes,Nas,81,2002,90
336,Systems/Layers,Rachel's,81,2003,83
337,Sunny Border Blue,Kristin Hersh,81,2001,87
338,604,Ladytron,81,2001,84
339,Someone To Drive You Home,The Long Blondes,81,2007,84
340,Highly Deadly Black Tarantula,Teeth of the Sea,81,2015,88
341,Devils & Dust,Bruce Springsteen,81,2005,85
342,Torres,Torres,81,2013,83
343,A Friend Of A Friend,Dave Rawlings Machine,81,2009,72
344,Atomos,A Winged Victory for the Sullen,81,2014,75
345,Kannon,Sunn O))),81,2015,66
346,Ego Death,The Internet,81,2015,82
347,The Boxing Mirror,Alejandro Escovedo,81,2006,82
348,The Phosphorescent Blues,Punch Brothers,81,2015,79
349,Divide and Exit,Sleaford Mods,81,2014,76
351,You Are There,Mono,81,2006,85
352,Why Make Sense?,Hot Chip,81,2015,80
353,Back To Black,Amy Winehouse,81,2007,87
354,Heart like a Levee,Hiss Golden Messenger,81,2016,74
355,Melody A.M.,Röyksopp,81,2002,90
356,Mangy Love,Cass McCombs,81,2016,73
357,Goldenheart,Dawn Richard,81,2013,81
358,Black Forest,Pale Young Gentlemen,81,2008,84
359,Mind Control,Uncle Acid and the Deadbeats,81,2013,84
360,If...,Bill Ryder-Jones,81,2012,88
361,Logos,Atlas Sound,81,2009,87
362,Jay Stay Paid,J Dilla aka Jay Dee,81,2009,87
363,Now Soon Someday [EP],Beans,81,2004,91
364,These Are The Vistas,The Bad Plus,81,2003,80
365,The Noise Made By People,Broadcast,81,2000,82
366,Metamodern Sounds in Country Music,Sturgill Simpson,81,2014,81
367,Modern Country,William Tyler,81,2016,84
368,The Rose Has Teeth In The Mouth Of A Beast,Matmos,81,2006,80
369,Sentenced to Life,Black Breath,81,2012,73
370,I Am What I Am,Merle Haggard,81,2010,83
371,Actor,St. Vincent,81,2009,90
372,Trackless Woods,Iris DeMent,81,2015,86
373,Reality Testing,Lone,81,2014,80
374,Lullaby and... The Ceaseless Roar,Robert Plant & the Sensational Space Shifters,81,2014,77
375,Shut Up I Am Dreaming,Sunset Rubdown,81,2006,91
376,Rubber Factory,The Black Keys,81,2004,87
377,Be Still Please,Portastatic,81,2006,75
378,God's Son,Nas,81,2002,89
379,Sorceress,Opeth,81,2016,73
380,The Milk Of Human Kindness,Caribou,81,2005,83
381,Sing the Delta,Iris DeMent,81,2012,86
382,Metals,Feist,81,2011,86
383,The Unborn Capitalist From Limbo,Cory Hanson,81,2016,69
384,Unseen,The Handsome Family,81,2016,68
385,GLA,Twin Atlantic,81,2016,70
386,Eve,Thalia Zedek,81,2016,82
387,West Kirby Country Primary,Bill Ryder-Jones,81,2015,70
388,Strangers,Simone Felice,81,2014,78
